0	45	90	
Actual position	Estimated position	Particle StDev	Sensor	Particle 0 location	Particle 0 weight	Particle 1 location	Particle 1 weight	Particle 2 location	Particle 2 weight	Particle 3 location	Particle 3 weight	Particle 4 location	Particle 4 weight	Particle 5 location	Particle 5 weight	Particle 6 location	Particle 6 weight	Particle 7 location	Particle 7 weight	Particle 8 location	Particle 8 weight	Particle 9 location	Particle 9 weight	Particle 10 location	Particle 10 weight	Particle 11 location	Particle 11 weight	Particle 12 location	Particle 12 weight	Particle 13 location	Particle 13 weight	Particle 14 location	Particle 14 weight	Particle 15 location	Particle 15 weight	Particle 16 location	Particle 16 weight	Particle 17 location	Particle 17 weight	Particle 18 location	Particle 18 weight	Particle 19 location	Particle 19 weight	Particle 20 location	Particle 20 weight	Particle 21 location	Particle 21 weight	Particle 22 location	Particle 22 weight	Particle 23 location	Particle 23 weight	Particle 24 location	Particle 24 weight	Particle 25 location	Particle 25 weight	Particle 26 location	Particle 26 weight	Particle 27 location	Particle 27 weight	Particle 28 location	Particle 28 weight	Particle 29 location	Particle 29 weight	Particle 30 location	Particle 30 weight	Particle 31 location	Particle 31 weight	Particle 32 location	Particle 32 weight	Particle 33 location	Particle 33 weight	Particle 34 location	Particle 34 weight	Particle 35 location	Particle 35 weight	Particle 36 location	Particle 36 weight	Particle 37 location	Particle 37 weight	Particle 38 location	Particle 38 weight	Particle 39 location	Particle 39 weight	Particle 40 location	Particle 40 weight	Particle 41 location	Particle 41 weight	Particle 42 location	Particle 42 weight	Particle 43 location	Particle 43 weight	Particle 44 location	Particle 44 weight	Particle 45 location	Particle 45 weight	Particle 46 location	Particle 46 weight	Particle 47 location	Particle 47 weight	Particle 48 location	Particle 48 weight	Particle 49 location	Particle 49 weight	Particle 50 location	Particle 50 weight	Particle 51 location	Particle 51 weight	Particle 52 location	Particle 52 weight	Particle 53 location	Particle 53 weight	Particle 54 location	Particle 54 weight	Particle 55 location	Particle 55 weight	Particle 56 location	Particle 56 weight	Particle 57 location	Particle 57 weight	Particle 58 location	Particle 58 weight	Particle 59 location	Particle 59 weight	Particle 60 location	Particle 60 weight	Particle 61 location	Particle 61 weight	Particle 62 location	Particle 62 weight	Particle 63 location	Particle 63 weight	Particle 64 location	Particle 64 weight	Particle 65 location	Particle 65 weight	Particle 66 location	Particle 66 weight	Particle 67 location	Particle 67 weight	Particle 68 location	Particle 68 weight	Particle 69 location	Particle 69 weight	Particle 70 location	Particle 70 weight	Particle 71 location	Particle 71 weight	Particle 72 location	Particle 72 weight	Particle 73 location	Particle 73 weight	Particle 74 location	Particle 74 weight	Particle 75 location	Particle 75 weight	Particle 76 location	Particle 76 weight	Particle 77 location	Particle 77 weight	Particle 78 location	Particle 78 weight	Particle 79 location	Particle 79 weight	Particle 80 location	Particle 80 weight	Particle 81 location	Particle 81 weight	Particle 82 location	Particle 82 weight	Particle 83 location	Particle 83 weight	Particle 84 location	Particle 84 weight	Particle 85 location	Particle 85 weight	Particle 86 location	Particle 86 weight	Particle 87 location	Particle 87 weight	Particle 88 location	Particle 88 weight	Particle 89 location	Particle 89 weight	Particle 90 location	Particle 90 weight	Particle 91 location	Particle 91 weight	Particle 92 location	Particle 92 weight	Particle 93 location	Particle 93 weight	Particle 94 location	Particle 94 weight	Particle 95 location	Particle 95 weight	Particle 96 location	Particle 96 weight	Particle 97 location	Particle 97 weight	Particle 98 location	Particle 98 weight	Particle 99 location	Particle 99 weight	
187.72	235.58	0.9860	38	18.21	0.012	21.77	0.012	25.40	0.012	28.96	0.012	61.42	0.012	64.98	0.012	68.59	0.012	72.19	0.012	108.20	0.012	111.78	0.012	115.39	0.012	118.99	0.012	122.61	0.012	126.20	0.012	129.78	0.012	133.42	0.012	136.98	0.012	140.59	0.012	144.19	0.012	147.79	0.012	151.38	0.012	154.99	0.012	158.59	0.012	162.19	0.012	165.78	0.012	169.37	0.012	173.00	0.012	176.59	0.012	180.17	0.012	183.78	0.012	187.40	0.012	190.97	0.012	194.59	0.012	198.17	0.012	201.79	0.012	205.41	0.012	209.00	0.012	212.59	0.012	216.19	0.012	219.78	0.012	223.35	0.012	226.99	0.012	230.59	0.012	234.18	0.012	237.78	0.012	241.37	0.012	244.98	0.012	248.60	0.012	252.20	0.012	255.80	0.012	259.40	0.012	262.99	0.012	266.57	0.012	270.17	0.012	273.80	0.012	277.40	0.012	280.98	0.012	284.57	0.012	288.19	0.012	291.77	0.012	295.40	0.012	299.02	0.012	302.61	0.012	306.18	0.012	309.81	0.012	313.41	0.012	316.97	0.012	320.61	0.012	324.18	0.012	327.77	0.012	331.40	0.012	334.99	0.012	338.60	0.012	342.20	0.012	345.77	0.012	349.40	0.012	352.99	0.012	356.59	0.012	104.61	0.011	14.57	0.011	75.82	0.010	57.79	0.007	32.61	0.006	100.99	0.003	10.99	0.003	79.39	0.002	7.39	0.001	36.20	0.001	39.79	0.001	43.41	0.001	46.98	0.001	50.58	0.001	54.18	0.001	83.00	0.001	86.59	0.001	90.17	0.001	93.79	0.001	97.39	0.001	343.58	0.005	3.78	0.001	
195.09	237.41	0.9850	38	25.59	0.012	29.13	0.012	68.81	0.012	72.37	0.012	115.61	0.012	119.16	0.012	122.77	0.012	126.40	0.012	130.01	0.012	133.60	0.012	137.19	0.012	140.79	0.012	144.35	0.012	147.98	0.012	151.60	0.012	155.20	0.012	158.77	0.012	162.37	0.012	166.03	0.012	169.59	0.012	173.15	0.012	176.76	0.012	180.41	0.012	184.00	0.012	187.60	0.012	191.17	0.012	194.80	0.012	198.34	0.012	202.00	0.012	205.57	0.012	209.19	0.012	212.80	0.012	216.39	0.012	220.01	0.012	223.61	0.012	227.18	0.012	230.72	0.012	234.39	0.012	237.99	0.012	241.57	0.012	245.20	0.012	248.75	0.012	252.37	0.012	256.00	0.012	259.59	0.012	263.17	0.012	266.79	0.012	270.39	0.012	273.95	0.012	277.55	0.012	281.19	0.012	284.81	0.012	288.38	0.012	291.96	0.012	295.58	0.012	299.13	0.012	302.77	0.012	306.40	0.012	309.99	0.012	313.55	0.012	317.19	0.012	320.82	0.012	324.37	0.012	328.00	0.012	331.57	0.012	335.17	0.012	338.81	0.012	342.37	0.012	345.99	0.012	349.58	0.012	353.17	0.012	356.79	0.012	111.99	0.012	21.98	0.012	65.20	0.012	350.98	0.012	108.40	0.012	18.37	0.012	61.57	0.012	14.78	0.011	104.77	0.011	133.88	0.005	58.00	0.007	32.80	0.006	101.19	0.003	11.17	0.003	79.58	0.002	36.35	0.001	0.37	0.001	4.00	0.001	83.23	0.001	39.99	0.001	86.77	0.001	43.60	0.001	47.18	0.001	50.83	0.001	54.39	0.001	90.41	0.001	93.97	0.001	97.54	0.001	
202.45	229.30	0.9830	38	123.00	0.012	126.52	0.012	130.15	0.012	133.80	0.012	137.41	0.012	140.99	0.012	144.58	0.012	148.22	0.012	151.76	0.012	155.38	0.012	158.97	0.012	162.59	0.012	166.15	0.012	169.80	0.012	173.43	0.012	176.97	0.012	180.55	0.012	184.17	0.012	187.81	0.012	191.39	0.012	194.97	0.012	198.57	0.012	202.20	0.012	205.72	0.012	209.38	0.012	212.97	0.012	216.55	0.012	220.22	0.012	223.77	0.012	227.39	0.012	231.01	0.012	234.60	0.012	238.15	0.012	241.78	0.012	245.38	0.012	248.97	0.012	252.59	0.012	256.14	0.012	259.78	0.012	263.40	0.012	266.98	0.012	270.55	0.012	274.18	0.012	277.79	0.012	281.35	0.012	284.93	0.012	288.61	0.012	292.19	0.012	295.78	0.012	299.35	0.012	302.99	0.012	306.50	0.012	310.18	0.012	313.81	0.012	317.38	0.012	320.95	0.012	324.60	0.012	328.23	0.012	331.76	0.012	335.41	0.012	338.98	0.012	342.58	0.012	346.20	0.012	349.75	0.012	353.38	0.012	356.98	0.012	119.38	0.012	29.36	0.012	72.60	0.012	254.33	0.005	115.78	0.012	25.78	0.012	68.96	0.012	22.18	0.012	112.15	0.012	65.36	0.012	141.26	0.012	108.60	0.012	18.55	0.012	61.78	0.012	104.95	0.012	76.23	0.009	58.26	0.008	33.02	0.005	11.37	0.004	101.37	0.004	79.78	0.001	36.53	0.001	0.56	0.001	4.20	0.001	40.20	0.001	86.98	0.001	43.75	0.001	7.77	0.001	90.60	0.001	47.36	0.001	94.18	0.001	50.98	0.001	54.57	0.001	97.77	0.001	
209.83	229.48	0.9845	38	130.39	0.012	133.91	0.012	137.53	0.012	141.21	0.012	144.82	0.012	148.40	0.012	151.96	0.012	155.61	0.012	159.13	0.012	162.76	0.012	166.36	0.012	169.99	0.012	173.56	0.012	177.19	0.012	180.84	0.012	184.37	0.012	187.93	0.012	191.58	0.012	195.21	0.012	198.76	0.012	202.38	0.012	205.98	0.012	209.60	0.012	213.11	0.012	216.76	0.012	220.38	0.012	223.94	0.012	227.64	0.012	231.16	0.012	234.77	0.012	238.44	0.012	242.00	0.012	245.55	0.012	68.23	0.005	252.77	0.012	256.37	0.012	259.98	0.012	263.52	0.012	267.18	0.012	270.79	0.012	274.35	0.012	277.94	0.012	281.55	0.012	285.18	0.012	288.73	0.012	292.31	0.012	295.98	0.012	299.59	0.012	303.14	0.012	306.77	0.012	310.40	0.012	313.88	0.012	317.56	0.012	321.21	0.012	324.76	0.012	328.33	0.012	331.97	0.012	335.62	0.012	339.16	0.012	342.81	0.012	346.36	0.012	349.97	0.012	353.58	0.012	357.16	0.012	126.79	0.012	123.20	0.012	29.59	0.012	119.56	0.012	72.75	0.012	148.66	0.012	115.98	0.012	25.92	0.012	69.18	0.012	112.38	0.012	65.66	0.012	261.73	0.012	18.78	0.012	108.75	0.012	15.16	0.012	61.95	0.012	105.17	0.012	76.35	0.009	58.39	0.008	33.18	0.005	11.60	0.004	101.58	0.004	0.78	0.001	4.37	0.001	36.74	0.001	80.04	0.001	83.61	0.001	40.43	0.001	87.17	0.001	43.91	0.001	7.98	0.001	47.61	0.001	94.38	0.001	51.16	0.001	98.00	0.001	54.75	0.001	
217.21	231.57	0.9843	38	137.79	0.012	141.31	0.012	144.94	0.012	148.58	0.012	152.20	0.012	155.80	0.012	159.36	0.012	163.01	0.012	166.52	0.012	170.14	0.012	173.75	0.012	177.41	0.012	180.93	0.012	184.59	0.012	188.25	0.012	191.76	0.012	195.32	0.012	198.98	0.012	202.62	0.012	206.14	0.012	209.76	0.012	213.38	0.012	217.01	0.012	220.53	0.012	224.16	0.012	227.79	0.012	231.34	0.012	235.04	0.012	238.54	0.012	242.15	0.012	245.82	0.012	249.38	0.012	252.95	0.012	260.16	0.012	263.76	0.012	267.36	0.012	270.87	0.012	274.56	0.012	278.19	0.012	281.73	0.012	285.33	0.012	288.95	0.012	292.56	0.012	296.13	0.012	299.68	0.012	303.41	0.012	306.96	0.012	310.54	0.012	314.17	0.012	317.77	0.012	321.24	0.012	324.96	0.012	328.59	0.012	332.16	0.012	335.72	0.012	339.36	0.012	343.02	0.012	346.55	0.012	350.19	0.012	353.78	0.012	357.34	0.012	134.17	0.012	163.63	0.005	126.96	0.012	156.04	0.012	123.39	0.012	119.76	0.012	73.06	0.012	269.13	0.012	26.17	0.012	116.14	0.012	22.56	0.012	69.34	0.012	112.56	0.012	65.78	0.012	18.99	0.012	108.97	0.012	15.39	0.012	105.40	0.012	62.11	0.012	75.64	0.010	58.56	0.009	76.59	0.008	101.77	0.005	11.76	0.005	33.34	0.004	0.96	0.001	4.55	0.001	36.96	0.001	80.16	0.001	83.72	0.001	40.57	0.001	8.18	0.001	44.12	0.001	87.44	0.001	91.01	0.001	47.82	0.001	94.56	0.001	51.30	0.001	54.99	0.001	
224.70	237.66	0.9821	38	161.21	0.005	148.70	0.012	152.35	0.012	155.97	0.012	159.60	0.012	163.22	0.012	166.75	0.012	170.39	0.012	173.90	0.012	177.52	0.012	181.14	0.012	184.80	0.012	188.32	0.012	191.97	0.012	195.67	0.012	199.15	0.012	202.72	0.012	206.41	0.012	210.00	0.012	213.56	0.012	217.15	0.012	220.76	0.012	224.42	0.012	227.92	0.012	231.54	0.012	235.20	0.012	238.74	0.012	242.42	0.012	245.94	0.012	249.57	0.012	253.20	0.012	256.77	0.012	260.33	0.012	267.56	0.012	271.17	0.012	274.74	0.012	278.28	0.012	281.95	0.012	285.58	0.012	289.12	0.012	292.72	0.012	296.35	0.012	299.97	0.012	303.52	0.012	307.09	0.012	310.80	0.012	314.34	0.012	317.97	0.012	321.57	0.012	325.17	0.012	328.64	0.012	332.34	0.012	336.01	0.012	339.55	0.012	343.11	0.012	346.75	0.012	350.42	0.012	353.96	0.012	357.59	0.012	141.55	0.012	134.35	0.012	163.44	0.012	130.79	0.012	127.18	0.012	276.49	0.012	123.54	0.012	29.94	0.012	119.97	0.012	73.17	0.012	26.40	0.012	116.35	0.012	22.78	0.012	112.80	0.012	69.52	0.012	65.96	0.012	171.06	0.012	109.17	0.012	19.15	0.012	15.59	0.012	62.39	0.012	58.69	0.009	76.72	0.008	101.96	0.005	11.95	0.005	33.57	0.004	55.20	0.001	1.17	0.001	4.72	0.001	80.44	0.001	83.05	0.001	83.95	0.001	40.75	0.001	8.38	0.001	44.39	0.001	87.56	0.001	91.12	0.001	47.95	0.001	51.52	0.001	94.85	0.001	98.43	0.001	
232.21	232.66	0.9833	38	156.11	0.012	159.74	0.012	163.35	0.012	166.99	0.012	170.63	0.012	174.15	0.012	177.77	0.012	181.31	0.012	184.93	0.012	188.52	0.012	192.21	0.012	195.70	0.012	199.36	0.012	203.08	0.012	206.55	0.012	210.12	0.012	213.80	0.012	217.39	0.012	220.95	0.012	224.52	0.012	228.15	0.012	231.79	0.012	235.34	0.012	238.93	0.012	242.58	0.012	246.12	0.012	249.83	0.012	253.35	0.012	256.97	0.012	260.58	0.012	264.17	0.012	267.72	0.012	168.11	0.005	278.55	0.012	282.12	0.012	285.67	0.012	289.35	0.012	292.96	0.012	296.52	0.012	300.12	0.012	303.77	0.012	307.36	0.012	310.91	0.012	314.48	0.012	318.18	0.012	321.74	0.012	325.35	0.012	328.95	0.012	332.57	0.012	336.04	0.012	339.70	0.012	343.38	0.012	346.94	0.012	350.52	0.012	354.14	0.012	357.81	0.012	148.93	0.012	141.74	0.012	170.86	0.012	138.18	0.012	134.59	0.012	283.87	0.012	130.93	0.012	127.38	0.012	123.73	0.012	120.20	0.012	73.35	0.012	178.47	0.012	116.58	0.012	26.56	0.012	23.00	0.012	69.78	0.012	66.10	0.012	109.37	0.012	168.57	0.012	19.35	0.012	62.60	0.012	15.77	0.012	105.81	0.012	30.17	0.012	58.92	0.009	76.93	0.008	102.23	0.006	12.12	0.005	33.78	0.004	55.38	0.001	1.35	0.001	4.97	0.001	37.32	0.001	80.55	0.001	84.10	0.001	40.96	0.001	8.57	0.001	87.83	0.001	90.43	0.001	91.35	0.001	48.15	0.001	51.78	0.001	94.96	0.001	98.52	0.001	
239.73	231.22	0.9837	38	163.50	0.012	167.12	0.012	170.75	0.012	174.38	0.012	178.06	0.012	181.56	0.012	185.14	0.012	188.70	0.012	192.36	0.012	195.93	0.012	199.60	0.012	203.06	0.012	206.76	0.012	210.46	0.012	213.95	0.012	217.52	0.012	221.18	0.012	224.79	0.012	228.33	0.012	231.93	0.012	235.54	0.012	238.02	0.005	242.73	0.012	246.30	0.012	249.99	0.012	253.51	0.012	257.21	0.012	260.74	0.012	264.36	0.012	267.99	0.012	271.54	0.012	275.12	0.012	285.96	0.012	289.53	0.012	293.05	0.012	296.73	0.012	300.34	0.012	303.90	0.012	307.53	0.012	311.18	0.012	314.74	0.012	318.30	0.012	321.87	0.012	325.60	0.012	329.13	0.012	332.76	0.012	336.36	0.012	339.96	0.012	343.47	0.012	347.10	0.012	350.78	0.012	354.33	0.012	357.89	0.012	156.33	0.012	149.13	0.012	178.27	0.012	145.56	0.012	141.98	0.012	291.27	0.012	138.31	0.012	134.79	0.012	131.14	0.012	127.61	0.012	185.88	0.012	123.98	0.012	73.48	0.012	116.76	0.012	175.94	0.012	26.74	0.012	70.00	0.012	23.16	0.012	113.23	0.012	66.30	0.012	109.62	0.012	19.52	0.012	175.49	0.012	62.78	0.012	15.95	0.012	105.90	0.012	30.39	0.011	59.17	0.010	77.18	0.007	12.38	0.006	102.34	0.006	33.97	0.003	55.54	0.002	1.54	0.001	5.19	0.001	80.75	0.001	37.59	0.001	84.33	0.001	41.17	0.001	8.73	0.001	44.69	0.001	87.95	0.001	91.49	0.001	48.35	0.001	95.21	0.001	97.84	0.001	98.72	0.001	
247.10	226.46	0.9803	38	170.88	0.012	174.53	0.012	178.15	0.012	181.81	0.012	185.42	0.012	188.96	0.012	192.50	0.012	196.11	0.012	199.77	0.012	203.31	0.012	206.98	0.012	210.44	0.012	214.16	0.012	217.86	0.012	221.33	0.012	224.91	0.012	228.57	0.012	232.20	0.012	235.73	0.012	239.34	0.012	242.92	0.012	250.11	0.012	253.67	0.012	257.39	0.012	260.89	0.012	264.61	0.012	268.11	0.012	271.76	0.012	275.36	0.012	278.94	0.012	282.50	0.012	293.36	0.012	296.94	0.012	300.43	0.012	304.14	0.012	307.74	0.012	311.30	0.012	314.92	0.012	318.55	0.012	322.12	0.012	325.69	0.012	229.08	0.005	333.03	0.012	336.52	0.012	340.16	0.012	343.76	0.012	347.37	0.012	350.87	0.012	354.51	0.012	358.17	0.012	163.73	0.012	156.52	0.012	185.68	0.012	152.94	0.012	149.39	0.012	298.68	0.012	145.71	0.012	142.19	0.012	138.54	0.012	135.00	0.012	193.26	0.012	131.39	0.012	124.16	0.012	183.33	0.012	120.61	0.012	73.68	0.012	117.02	0.012	26.91	0.012	182.87	0.012	70.17	0.012	23.32	0.012	113.26	0.012	66.56	0.012	19.78	0.012	109.74	0.012	245.43	0.012	62.94	0.012	16.11	0.012	105.24	0.012	106.11	0.012	30.55	0.011	77.39	0.007	12.59	0.006	102.59	0.006	34.13	0.003	55.74	0.002	1.74	0.001	5.28	0.001	80.86	0.001	37.76	0.001	84.57	0.001	41.39	0.001	8.94	0.001	88.12	0.001	44.99	0.001	91.72	0.001	48.56	0.001	52.06	0.001	95.34	0.001	98.89	0.001	
254.48	223.55	0.9784	38	178.28	0.012	181.93	0.012	185.55	0.012	189.21	0.012	192.82	0.012	196.37	0.012	199.91	0.012	203.49	0.012	207.17	0.012	210.71	0.012	214.39	0.012	217.87	0.012	221.56	0.012	225.26	0.012	228.72	0.012	232.28	0.012	235.94	0.012	239.60	0.012	243.13	0.012	246.74	0.012	250.31	0.012	257.50	0.012	261.05	0.012	264.77	0.012	268.30	0.012	272.01	0.012	275.52	0.012	279.15	0.012	282.76	0.012	286.33	0.012	289.91	0.012	300.75	0.012	304.34	0.012	307.82	0.012	311.54	0.012	315.14	0.012	318.69	0.012	322.32	0.012	325.97	0.012	329.52	0.012	333.09	0.012	340.40	0.012	343.90	0.012	347.54	0.012	351.12	0.012	354.78	0.012	358.25	0.012	171.10	0.012	163.92	0.012	193.08	0.012	160.31	0.012	156.77	0.012	124.26	0.005	153.11	0.012	149.59	0.012	145.94	0.012	142.40	0.012	200.64	0.012	138.78	0.012	131.56	0.012	190.73	0.012	128.01	0.012	124.43	0.012	190.27	0.012	120.66	0.012	73.97	0.012	27.14	0.012	117.14	0.012	252.82	0.012	70.30	0.012	23.52	0.012	112.62	0.012	113.49	0.012	19.98	0.012	109.97	0.012	236.48	0.012	63.13	0.012	16.34	0.012	106.28	0.012	59.44	0.011	30.72	0.010	102.72	0.007	12.66	0.007	77.57	0.006	55.92	0.003	34.29	0.002	1.90	0.001	5.55	0.001	81.09	0.001	37.97	0.001	84.79	0.001	41.54	0.001	9.14	0.001	88.24	0.001	45.14	0.001	91.97	0.001	48.81	0.001	95.51	0.001	52.37	0.001	99.12	0.001	
