Lsensor,Rsensor,LmotP,RmotP,LmotML,RmotML,DirP,DirML,X
187,178,16,44,20,39,-252,-171,-0.4007353
187,177,14,46,18,41,-288,-207,-0.3889706
184,177,17,43,19,40,-234,-189,-0.3772059
184,177,17,43,19,40,-234,-189,-0.3654412
184,179,21,39,21,38,-162,-153,-0.3536765
183,179,23,37,21,38,-126,-153,-0.3419118
184,179,21,39,21,38,-162,-153,-0.3301471
183,177,18,42,19,40,-216,-189,-0.3183824
182,177,20,40,19,40,-180,-189,-0.3066176
186,180,21,39,22,37,-162,-135,-0.2948529
185,178,18,42,20,39,-216,-171,-0.2830882
183,180,25,35,23,36,-90,-117,-0.2713235
185,179,20,40,21,38,-180,-153,-0.2595588
186,177,15,45,18,41,-270,-207,-0.2477941
182,179,24,36,21,38,-108,-153,-0.2360294
186,179,19,41,21,38,-198,-153,-0.2242647
181,181,30,30,25,34,0,-81,-0.2125
185,179,20,40,21,38,-180,-153,-0.2007353
182,179,24,36,21,38,-108,-153,-0.1889706
185,178,18,42,20,39,-216,-171,-0.1772059
181,178,24,36,20,39,-108,-171,-0.1654412
182,181,29,31,25,34,-18,-81,-0.1536765
185,181,24,36,24,35,-108,-99,-0.1419118
183,181,27,33,25,34,-54,-81,-0.1301471
185,179,20,40,21,38,-180,-153,-0.1183824
184,183,29,31,29,30,-18,-9,-0.1066176
180,182,34,26,27,32,72,-45,-0.0948529
183,181,27,33,25,34,-54,-81,-0.0830882
180,180,30,30,23,36,0,-117,-0.0713235
182,183,32,28,29,30,36,-9,-0.0595588
182,179,24,36,21,38,-108,-153,-0.0477941
184,182,27,33,26,33,-54,-63,-0.0360294
182,180,27,33,23,36,-54,-117,-0.0242647
182,182,30,30,27,32,0,-45,-0.0125
180,180,30,30,23,36,0,-117,-0.0007353
179,184,39,21,32,27,162,45,0.01102941
179,181,34,26,25,34,72,-81,0.02279412
181,184,35,25,32,27,90,45,0.03455882
183,183,30,30,29,30,0,-9,0.04632353
182,184,33,27,31,28,54,27,0.05808824
183,184,32,28,31,28,36,27,0.06985294
180,181,32,28,25,34,36,-81,0.08161765
180,182,34,26,27,32,72,-45,0.09338235
